namespace,value,timestamp
openfaas-fn,0.05194286458791563,2021-03-30T15:32:07+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:08+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:09+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:10+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:11+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:12+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:13+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:14+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:15+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:16+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:17+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:18+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:19+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:20+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:21+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:22+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:23+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:24+02:00
openfaas-fn,0.05194286458791563,2021-03-30T15:32:25+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:26+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:27+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:28+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:29+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:30+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:31+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:32+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:33+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:34+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:35+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:36+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:37+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:38+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:39+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:40+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:41+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:42+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:43+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:44+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:45+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:46+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:47+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:48+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:49+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:50+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:51+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:52+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:53+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:54+02:00
openfaas-fn,0.04401537942426119,2021-03-30T15:32:55+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:32:56+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:32:57+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:32:58+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:32:59+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:00+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:01+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:02+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:03+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:04+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:05+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:06+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:07+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:08+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:09+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:10+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:11+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:12+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:13+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:14+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:15+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:16+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:17+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:18+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:19+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:20+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:21+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:22+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:23+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:24+02:00
openfaas-fn,0.05861164320566854,2021-03-30T15:33:25+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:26+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:27+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:28+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:29+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:30+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:31+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:32+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:33+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:34+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:35+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:36+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:37+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:38+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:39+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:40+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:41+02:00
openfaas-fn,0.053011091350118146,2021-03-30T15:33:42+02:00
