namespace,value,timestamp
openfaas-fn,0.04565120901642987,2021-03-23T17:10:47+01:00
openfaas-fn,0.04565120901642987,2021-03-23T17:10:48+01:00
openfaas-fn,0.04565120901642987,2021-03-23T17:10:49+01:00
openfaas-fn,0.04565120901642987,2021-03-23T17:10:50+01:00
openfaas-fn,0.04565120901642987,2021-03-23T17:10:51+01:00
openfaas-fn,0.04565120901642987,2021-03-23T17:10:52+01:00
openfaas-fn,0.04565120901642987,2021-03-23T17:10:53+01:00
openfaas-fn,0.04565120901642987,2021-03-23T17:10:54+01:00
openfaas-fn,0.04565120901642987,2021-03-23T17:10:55+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:10:56+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:10:57+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:10:58+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:10:59+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:00+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:01+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:02+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:03+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:04+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:05+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:06+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:07+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:08+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:09+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:10+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:11+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:12+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:13+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:14+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:15+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:16+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:17+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:18+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:19+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:20+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:21+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:22+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:23+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:24+01:00
openfaas-fn,0.018281978730750006,2021-03-23T17:11:25+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:26+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:27+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:28+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:29+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:30+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:31+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:32+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:33+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:34+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:35+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:36+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:37+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:38+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:39+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:40+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:41+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:42+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:43+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:44+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:45+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:46+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:47+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:48+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:49+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:50+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:51+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:52+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:53+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:54+01:00
openfaas-fn,0.014680720028213566,2021-03-23T17:11:55+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:11:56+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:11:57+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:11:58+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:11:59+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:00+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:01+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:02+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:03+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:04+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:05+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:06+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:07+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:08+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:09+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:10+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:11+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:12+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:13+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:14+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:15+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:16+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:17+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:18+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:19+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:20+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:21+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:22+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:23+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:24+01:00
openfaas-fn,0.022396961561190566,2021-03-23T17:12:25+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:26+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:27+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:28+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:29+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:30+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:31+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:32+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:33+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:34+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:35+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:36+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:37+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:38+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:39+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:40+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:41+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:42+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:43+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:44+01:00
openfaas-fn,0.030600538550707646,2021-03-23T17:12:45+01:00
